Region|City|Name|Address
US,New York City,Dumbo Heights (Prospect),"81 Prospect St, Brooklyn NY 11201"
US,New York City,575 Fifth,"575 5th Ave., New York NY 10017"
US,New York City,88 University,"88 University Pl, New York NY 10003"
US,New York City,Empire State,"349 5th Avenue, New York NY 10016"
US,New York City,300 Park,"300 Park Avenue, New York NY 10022"
US,New York City,135 West 41st St.,"135 W 41st St, New York NY 10036"
US,New York City,Studio Square,"3537 36th Street, Astoria NY 11106"
US,New York City,205 Hudson,"205 Hudson St, New York NY 10013"
US,New York City,Fulton Center,"200 Broadway, New York NY 10038"
US,New York City,524 Broadway,"524 Broadway, New York NY 10012"
US,New York City,120 E 23rd St,"120 E 23rd St, New York NY 10010"
US,New York City,115 Broadway,"115 Broadway Street, New York NY 10006"
US,New York City,125 West 25th Street,"125 West 25th Street, New York NY 10001"
US,New York City,Montague St.,"195 Montague Street, Brooklyn NY 11201"
US,New York City,175 Varick St,"175 Varick Street, New York NY 10014"
US,New York City,404 Fifth Ave,"404 5th Ave, New York NY 10018"
US,New York City,Queens Plaza,"27-01 Queens Plaza N, Long Island City NY 11101"
US,New York City,Park South,"401 Park Avenue South, New York NY 10016"
US,New York City,11 Park Place,"11 Park Place, New York NY 10007"
US,New York City,Herald Square,"950 Sixth Ave, New York NY 10001"
US,New York City,W. 57th St.,"142 W 57th St, New York NY 10019"
US,New York City,79 Madison Ave,"79 Madison Ave, New York NY 10016"
US,New York City,Penn Station,"315 W 36th Street, New York NY 10018"
US,New York City,25 Broadway,"25 Broadway, New York NY 10004"
US,New York City,South Williamsburg,"109 S 5th Street, Brooklyn NY 11249"
US,New York City,Madison,"261 Madison Avenue, New York NY 10016"
US,New York City,85 Broad St,"85 Broad St, New York NY 10004"
US,New York City,222 Broadway,"222 Broadway, New York NY 10038"
US,New York City,135 Madison Ave,"135 Madison Ave, New York NY 10016"
US,Orange County,3200 Park Center Drive,"3200 Park Center Drive, Costa Mesa CA 92626"
US,Orange County,Spectrum Center,"200 Spectrum Center Drive, Irvine CA 92618"
US,Philadelphia/DC Suburbs,Tysons,"1775 Tysons Blvd, Tysons VA 22102"
US,Philadelphia/DC Suburbs,1601 Market,"1601 Market Street, Philadelphia PA 19103"
US,Philadelphia/DC Suburbs,1900 Market,"1900 Market Street, Philadelphia PA 19103"
US,Philadelphia/DC Suburbs,Crystal City,"2221 South Clark St, Arlington VA 22202"
US,Philadelphia/DC Suburbs,Walnut St.,"1430 Walnut Street, Philadelphia PA 19102"
US,Philadelphia/DC Suburbs,Northern Liberties,"1010 N Hancock St, Philadelphia PA 19123"
US,Portland,Custom House,"220 NW 8th Ave, Portland OR 97209"
US,Portland,920 SW 6th Ave,"920 SW 6th Ave, Portland OR 97204"
US,Portland,Pioneer Place,"700 SW Fifth Avenue, Portland OR 97204"
US,San Diego,B Street,"600 B Street, San Diego CA 92101"
US,San Diego,Aventine,"8910 University Center Lane, San Diego CA 92122"
US,Seattle,Denny Triangle,"1099 Stewart Street, Seattle WA 98101"
US,Seattle,925 4th Avenue,"925 4th Avenue, Seattle WA 98104"
US,Seattle,Lincoln Square,"10400 NE 4th Street, Bellevue WA 98004"
US,Seattle,Holyoke Building,"107 Spring St, Seattle WA 98104"
US,Seattle,South Lake Union,"500 Yale Avenue North, Seattle WA 98109"
US,Seattle,Westlake Tower,"1601 5th Ave, Seattle WA 98101"
US,Seattle,1411 4th Avenue,"1411 4th Avenue, Seattle WA 98101"
US,Seattle,1600 7th Avenue,"1600 7th Avenue, Seattle WA 98191"
US,Silicon Valley,401 San Antonio Road,"401 San Antonio Road, Mountain View CA 94040"
US,Washington DC,Apollo,"810 7th Street NE, Washington DC 20002"
US,Washington DC,Dupont Circle,"1875 Connecticut Ave NW, Washington DC 20009"
US,Washington DC,80 M SE,"80 M Street SE, Washington DC 20003"
US,Washington DC,Manhattan Laundry,"1342 Florida Ave NW, Washington DC 20009"
US,Washington DC,K Street,"1875 K St NW, Washington DC 20006"
US,Washington DC,Chinatown,"718 7th St NW, Washington DC 20001"
US,Washington DC,White House,"1440 G St NW, Washington DC 20005"
US,Washington DC,Wonder Bread Factory,"641 S Street NW, Washington DC 20001"
